 num     #instances         #bytes  class name (module)
  89:           801          25632  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.1)
  90:           313          25040  sun.net.www.protocol.jar.URLJarFile (java.base@11.0.1)
  91:          1010          24240  java.lang.invoke.ResolvedMethodName (java.base@11.0.1)
  92:           372          23808  co.paralleluniverse.asm.SymbolTable
  93:           739          23648  java.util.Locale (java.base@11.0.1)
  94:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.1)
  95:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.1)
  96:           419          23464  java.lang.invoke.MethodTypeForm (java.base@11.0.1)
  97:           571          22840  co.paralleluniverse.asm.tree.LdcInsnNode
  98:           459          22032  java.lang.invoke.ClassSpecializer$Factory$1Var (java.base@11.0.1)
  99:           905          21720  co.paralleluniverse.asm.tree.analysis.Subroutine
 100:           374          20944  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@11.0.1)
 101:           461          18440  java.util.WeakHashMap$Entry (java.base@11.0.1)
 102:           247          17784  java.lang.reflect.Field (java.base@11.0.1)
 103:          1110          17760  java.util.jar.JarFile$1 (java.base@11.0.1)
 104:           314          17584  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@11.0.1)
 105:           355          17040  java.util.WeakHashMap (java.base@11.0.1)
 106:           529          16928  java.io.File (java.base@11.0.1)
 107:           529          16928  java.lang.ref.WeakReference (java.base@11.0.1)
 108:           124          16864  co.paralleluniverse.fibers.instrument.DBClassWriter
 109:           421          16840  co.paralleluniverse.asm.ClassReader
 110:           421          16840  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.1)
 111:           121          15488  sun.nio.fs.UnixFileAttributes (java.base@11.0.1)
 112:           237          15168  java.lang.invoke.InvokerBytecodeGenerator (java.base@11.0.1)
 113:           314          15072  java.util.zip.ZipFile$ZipFileInputStream (java.base@11.0.1)
 114:           470          15040  java.util.TreeMap$KeyIterator (java.base@11.0.1)
 115:           467          14944  java.util.TreeMap$ValueIterator (java.base@11.0.1)
 116:           327          14744  [Ljdk.internal.org.objectweb.asm.Type; (java.base@11.0.1)
 117:           586          14064  java.lang.PublicMethods$MethodList (java.base@11.0.1)
 118:           212          13568  java.util.stream.ReferencePipeline$2 (java.base@11.0.1)
 119:           565          13560  java.lang.PublicMethods$Key (java.base@11.0.1)
 120:           840          13440  java.lang.invoke.LambdaFormEditor (java.base@11.0.1)
 121:           335          13400  java.lang.ref.Finalizer (java.base@11.0.1)
 122:           239          13384  java.util.stream.ReferencePipeline$Head (java.base@11.0.1)
 123:           334          13360  co.paralleluniverse.asm.tree.TypeAnnotationNode
 124:           208          13016  [Ljava.lang.reflect.Method; (java.base@11.0.1)
 125:           524          12576  java.lang.Long (java.base@11.0.1)
 126:           393          12576  java.lang.ref.ReferenceQueue (java.base@11.0.1)
 127:           120          12480  sun.net.www.protocol.file.FileURLConnection (java.base@11.0.1)
 128:           152          12160  java.lang.reflect.Constructor (java.base@11.0.1)
 129:           189          12096  java.lang.Class$ReflectionData (java.base@11.0.1)
 130:            32          12032  java.lang.Thread (java.base@11.0.1)
 131:           234          11232  co.paralleluniverse.asm.tree.IincInsnNode
 132:           467          11208  javax.management.ImmutableDescriptor (java.management@11.0.1)
 133:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.1)
 134:           226          10848  java.lang.invoke.LambdaFormBuffer (java.base@11.0.1)
 135:           254          10160  co.paralleluniverse.asm.tree.TryCatchBlockNode
 136:           313          10016  java.util.zip.ZipFile$CleanableResource$FinalizableResource (java.base@11.0.1)
 137:           311           9952  java.util.TreeMap$EntryIterator (java.base@11.0.1)
 138:           414           9936  java.util.concurrent.CopyOnWriteArrayList$COWIterator (java.base@11.0.1)
 139:           124           9920  java.net.URI (java.base@11.0.1)
 140:           306           9792  java.nio.file.attribute.FileTime (java.base@11.0.1)
 141:           102           9792  sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry (java.base@11.0.1)
 142:           394           9456  java.lang.reflect.ProxyGenerator$ConstantPool$IndirectEntry (java.base@11.0.1)
 143:           393           9432  java.util.Arrays$ArrayList (java.base@11.0.1)
 144:           389           9336  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.1)
 145:           102           8976  sun.net.www.protocol.jar.JarURLConnection (java.base@11.0.1)
 146:           109           8928  [Ljava.lang.Thread; (java.base@11.0.1)
 147:           139           8896  java.util.concurrent.ConcurrentHashMap (java.base@11.0.1)
 148:           544           8704  [Lco.paralleluniverse.asm.Attribute;
 149:           360           8640  jdk.internal.loader.BuiltinClassLoader$2 (java.base@11.0.1)
 150:           348           8480  [Ljavax.management.Descriptor; (java.management@11.0.1)
 151:           131           8384  java.util.zip.Inflater (java.base@11.0.1)
 152:           341           8184  java.util.Arrays$ArrayItr (java.base@11.0.1)
 153:           341           8184  java.util.Collections$SetFromMap (java.base@11.0.1)
 154:           255           8160  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.1)
 155:           203           8120  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.1)
 156:           164           7992  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.1)
 157:           139           7784  javax.management.timer.TimerAlarmClock (java.management@11.0.1)
 158:           160           7680  co.paralleluniverse.fibers.instrument.CheckInstrumentationVisitor
 159:           137           7672  javax.management.timer.TimerNotification (java.management@11.0.1)
 160:           319           7656  java.util.zip.ZipFile$InflaterCleanupAction (java.base@11.0.1)
 161:           236           7552  java.lang.invoke.DirectMethodHandle (java.base@11.0.1)
 162:           470           7520  java.util.TreeMap$KeySet (java.base@11.0.1)
 163:           313           7512  java.io.ByteArrayOutputStream (java.base@11.0.1)
 164:           467           7472  java.util.TreeMap$Values (java.base@11.0.1)
 165:           450           7200  java.util.HashSet (java.base@11.0.1)
 166:           219           7008  co.paralleluniverse.asm.Handle
 167:           124           6944  co.paralleluniverse.fibers.instrument.InstrumentClass
 168:           173           6920  java.util.HashMap$EntryIterator (java.base@11.0.1)
 169:           107           6848  java.util.stream.ReferencePipeline$3 (java.base@11.0.1)
 170:           106           6784  jdk.internal.org.objectweb.asm.FieldWriter (java.base@11.0.1)
 171:           211           6752  jdk.internal.loader.URLClassPath$JarLoader$2 (java.base@11.0.1)
 172:           203           6496  co.paralleluniverse.asm.tree.AnnotationNode
 173:           135           6480  javax.management.timer.TimerAlarmClockNotification (java.management@11.0.1)
 174:           395           6320  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.1)
 175:           255           6120  java.util.ImmutableCollections$Set12 (java.base@11.0.1)
 176:           189           6048  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@11.0.1)
 177:           185           5920  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.1)
 178:           249           5888  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.1)
 179:           143           5720  java.util.HashMap$ValueIterator (java.base@11.0.1)
 180:           178           5696  java.io.ByteArrayInputStream (java.base@11.0.1)
 181:           237           5688  java.lang.invoke.InvokerBytecodeGenerator$CpPatch (java.base@11.0.1)
 182:            85           5592  [S (java.base@11.0.1)
 183:           139           5560  java.security.CodeSource (java.base@11.0.1)
 184:           114           5472  java.nio.HeapByteBuffer (java.base@11.0.1)
 185:           333           5328  java.util.WeakHashMap$KeySet (java.base@11.0.1)
 186:           110           5280  java.nio.HeapCharBuffer (java.base@11.0.1)
 187:            94           5264  java.util.LinkedHashMap (java.base@11.0.1)
 188:           212           5088  java.util.stream.ReferencePipeline$2$1 (java.base@11.0.1)
 189:           317           5072  java.lang.Byte (java.base@11.0.1)
 190:           311           4976  java.util.TreeMap$EntrySet (java.base@11.0.1)
 191:           124           4960  co.paralleluniverse.fibers.instrument.OffsetClassReader
 192:           140           4856  [Ljavax.management.ObjectName$Property; (java.management@11.0.1)
 193:           102           4840  [Ljavax.management.MBeanAttributeInfo; (java.management@11.0.1)
 194:           118           4720  java.util.Collections$SingletonMap (java.base@11.0.1)
 195:           141           4512  sun.nio.fs.UnixPath (java.base@11.0.1)
 196:            70           4480  java.lang.module.ModuleDescriptor (java.base@11.0.1)
 197:           111           4440  java.util.HashMap$KeyIterator (java.base@11.0.1)
 198:           105           4200  java.util.HashMap$ValueSpliterator (java.base@11.0.1)
 199:           174           4176  sun.net.www.MessageHeader (java.base@11.0.1)
 200:           102           4080  java.math.BigInteger (java.base@11.0.1)
 201:           170           4080  java.util.Date (java.base@11.0.1)
 202:           202           3992  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@11.0.1)
 203:           166           3984  java.util.ImmutableCollections$SetN (java.base@11.0.1)
 204:           124           3968  co.paralleluniverse.fibers.instrument.LabelSuspendableCallSitesClassVisitor
 205:           124           3968  co.paralleluniverse.fibers.instrument.SuspOffsetsAfterInstrClassVisitor
 206:            70           3920  jdk.internal.module.ModuleReferenceImpl (java.base@11.0.1)
 207:           162           3888  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.1)
 208:            54           3888  sun.net.www.protocol.jrt.JavaRuntimeURLConnection (java.base@11.0.1)
 209:            67           3752  java.lang.Module (java.base@11.0.1)
 210:             5           3704  [Lco.paralleluniverse.asm.tree.AbstractInsnNode;
 211:             5           3704  [Lco.paralleluniverse.asm.tree.analysis.Frame;
 212:             5           3704  [Lco.paralleluniverse.asm.tree.analysis.Subroutine;
 213:             5           3704  [Ljava.util.List; (java.base@11.0.1)
 214:           231           3696  java.util.Collections$SingletonSet (java.base@11.0.1)
 215:            76           3648  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@11.0.1)
 216:           224           3584  co.paralleluniverse.asm.tree.analysis.BasicValue
 217:            88           3520  javax.management.MBeanOperationInfo (java.management@11.0.1)
 218:           110           3520  sun.nio.fs.UnixFileKey (java.base@11.0.1)
 219:           105           3360  java.util.stream.Collectors$CollectorImpl (java.base@11.0.1)
 220:           105           3360  java.util.stream.ReduceOps$3 (java.base@11.0.1)
 221:           105           3360  java.util.stream.ReduceOps$3ReducingSink (java.base@11.0.1)
 222:            52           3328  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@11.0.1)
 223:           207           3312  jdk.internal.reflect.ConstantPool (java.base@11.0.1)
 224:           135           3240  java.lang.invoke.MethodHandles$Lookup (java.base@11.0.1)
 225:           135           3240  javax.management.NotificationBroadcasterSupport$SendNotifJob (java.management@11.0.1)
 226:            80           3200  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@11.0.1)
 227:            57           3192  java.io.FileCleanable (java.base@11.0.1)
 228:           131           3144  java.lang.invoke.StringConcatFactory$RecipeElement (java.base@11.0.1)
 229:           131           3144  java.util.zip.Inflater$InflaterZStreamRef (java.base@11.0.1)
 230:           128           3072  com.sun.jmx.mbeanserver.MBeanAnalyzer$AttrMethods (java.management@11.0.1)
 231:           126           3024  java.security.SecureClassLoader$1 (java.base@11.0.1)
 232:           126           3024  java.util.ArrayDeque (java.base@11.0.1)
 233:            62           2976  javax.management.MBeanInfo (java.management@11.0.1)
 234:            53           2968  java.lang.invoke.BoundMethodHandle$Species_LLLLLL (java.base@11.0.1)
 235:           123           2952  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@11.0.1)
 236:           121           2904  java.util.zip.ZipFile$Source$Key (java.base@11.0.1)
 237:           181           2896  java.util.HashMap$EntrySet (java.base@11.0.1)
 238:            60           2880  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@11.0.1)
 239:           115           2760  java.util.ImmutableCollections$List12 (java.base@11.0.1)
 240:            43           2752  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.1)
 241:           114           2736  java.util.Collections$2 (java.base@11.0.1)
 242:            26           2704  java.lang.invoke.InnerClassLambdaMetafactory (java.base@11.0.1)
 243:           169           2704  java.util.Optional (java.base@11.0.1)
 244:            67           2680  java.io.ObjectStreamField (java.base@11.0.1)
 245:            83           2656  javax.management.MBeanAttributeInfo (java.management@11.0.1)
 246:           116           2616  [Ljava.lang.reflect.Constructor; (java.base@11.0.1)
 247:           108           2592  jdk.internal.jimage.ImageLocation (java.base@11.0.1)
 248:           107           2568  java.util.stream.ReferencePipeline$3$1 (java.base@11.0.1)
